CID,Name,n_maps,selected_idx,removed_indices,coverage_frac,range,mean_active,std_active,composite_score,score_diff,close_call,z_coverage,z_range,z_mean
957,1-octanol,2,0,1,0.29202237268177805,12.4713,0.5309083669354839,0.4944357541688899,1.7677669529663713,3.5355339059327378,False,0.7071067811865501,0.7071067811865472,-0.7071067811865479
1031,1-propanol,2,0,1,0.2793641448336768,8.4141,0.6707702845100105,0.6606224392266121,1.7677669529663673,3.5355339059327378,False,0.7071067811865459,0.7071067811865476,-0.7071067811865476
1032,propionic acid,1,0,,0.30909626140712393,7.7691,0.5263680000000001,0.5335129372330605,0.0,,False,,,
1140,Toluene,1,0,,0.3214601118634089,8.463999999999999,0.6294831501831503,0.5361425075691107,0.0,,False,,,
1183,vanillin,1,0,,0.36120105975861055,10.7076,0.5418000814995926,0.4135529169503798,0.0,,False,,,
2758,eucalyptol,3,0,"1,2",0.2905504857226965,7.284000000000001,0.7445780952380953,0.6730295816779495,1.8935352039284021,1.1824753758443614,False,0.5477574921327242,1.0903851316463398,-0.5107851602986766
3314,eugenol,1,0,,0.30997939358257287,6.651999999999999,0.498189363722697,0.439290297742038,0.0,,False,,,
3776,isopropanol,1,0,,0.30320871357079776,6.2669,0.562967572815534,0.4869145786380043,0.0,,False,,,
3893,lauric acid,1,0,,0.31969384751251106,11.361,0.6003319889502763,0.535551725293915,0.0,,False,,,
4133,methyl salicylate,7,5,"0,1,2,3,4,6",0.3344127171033265,10.483,0.4960908714788733,0.5275558785374628,3.2106992265148193,1.1705183309617322,False,1.2015723402171177,1.4441184555148125,-1.1300168615657786
5634,undecylenic acid,1,0,,0.30909626140712393,10.999,0.6210519428571429,0.5537045620910268,0.0,,False,,,
6184,hexanal,1,0,,0.25316455696202533,7.1025,0.7497377906976744,0.7784845224685113,0.0,,False,,,
6276,1-pentanol,6,2,"0,1,3,4,5",0.31115690314983807,14.391100000000002,0.6020986754966887,0.5415227887068832,2.569315680939222,0.8101780006963648,False,0.42052708769532926,1.9662817618926232,-0.3650136627025396
6386,tert-butanol,1,0,,0.2699440682955549,7.1722,0.7976729552889859,0.6524777034085124,0.0,,False,,,
6416,pinacolone,1,0,,0.3035030909626141,7.7155000000000005,0.686453249272551,0.5698087776533458,0.0,,False,,,
6417,trimethylacetic acid,1,0,,0.3002649396526347,6.7305,0.5960728431372548,0.5555917627371093,0.0,,False,,,
6425,pinacol,1,0,,0.2914336178981454,7.9548000000000005,0.6928836363636364,0.6432884646740811,0.0,,False,,,
6501,ethyl 3-methyl-3-phenylglycidate,1,0,,0.3229319988224904,11.2538,0.5801378304466728,0.5171054846907035,0.0,,False,,,
6549,linalool,1,0,,0.324403885781572,7.417,0.5687587931034483,0.4573880848174069,0.0,,False,,,
6560,isobutanol,1,0,,0.27671474830733,6.268000000000001,0.7215405319148936,0.5841908126464915,0.0,,False,,,
