CID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
6417,-6.290518815018895,-6.078049505260675,12.868322350122533,0.142360365539809,-11.063165481882622,-8.43487621775723,6.990831968239714,3.0187767317187233,1.8699753204446816,4.1997821056930995,-4.776380378322914,-0.115068413945393,1.5402621125895954,-5.642227346297424,-16.491947216727002,-3.2675181708543684,5.3055525604518285,-1.332959489633022,3.951796827122652,6.8988315446047155
6425,13.517336572905776,3.366333347220343,2.946500154721529,-2.971147619149839,-15.939950009862521,4.937413087212099,3.4390764997002794,0.3121227328302066,10.252027304938647,-8.759215930337698,4.948865531910091,2.7216742278997423,-1.5478295390176808,-0.6414050634201065,-3.2769196133408975,0.2691000026073002,-9.655975966216383,-3.0944432576800893,-6.207562250538461,2.493453152332282
6501,-20.336675237292006,-4.675700788800059,5.897539014683845,7.634112502465512,2.285998977168569,12.368003557094717,6.189937621696907,6.353863091674038,14.272453108271668,-17.86627580129435,-5.648953116083907,-10.218440899154096,3.126549680453876,-0.36999947621571355,12.321200364680188,9.215357776909935,6.954517406134476,10.049116157156693,-2.0924744846718966,4.410875470345223
6549,-2.367965484707211,3.947412616922031,-15.094603610767148,-15.172288387530786,-11.411675151193984,9.354723014336727,0.9464756827278439,2.525717293260635,2.560134984599863,-1.453503531679274,-2.104815734279558,-1.820877568001413,9.5053071942092,1.129187915185852,-1.0734303956944202,2.146607073142116,-2.74458264818821,0.884614365502773,-0.6196539105908343,-10.358102899400365
6560,12.731916921067917,-11.664963975673631,20.061169962289522,9.187958523125904,-15.967863748794407,-5.289834945972659,13.60880428190008,5.9373659260759135,-4.027821628348668,-1.4491155858994726,-0.08858100096897449,0.7875963284631147,-1.8984430500851042,-7.795483951638705,-0.7505919326939405,-3.9326187539290345,-1.5917325376025218,0.5116556641394229,-2.0130204877089435,1.2759103579023192
6568,17.369976510094894,6.200911890340499,10.439735688526849,6.302339055006721,-1.7705832250013989,-12.928974727846757,-0.8244505727047043,7.025943774473282,-3.476283519585798,-5.508422573355517,-2.1274107059470726,0.3114173072727747,3.5759738819390896,0.25013370403961555,1.8916450746487943,0.6984510010919939,-2.4108820199431076,1.5969991710066294,-4.363040976951333,-2.196494125051578
6569,17.59324740427859,5.287480017224286,8.826666044415967,-0.8556024685661077,-0.6296876667441687,-9.157911960259552,-4.558012116520355,4.422589452960465,-1.0477839759317864,-2.8276518029268076,4.6882960549112385,-2.738891899120732,1.10253005506439,0.46208796836472354,1.6321337600109436,3.495996792083679,-2.0550315050942736,-1.6587325986819244,-4.464875556099261,-1.20809180993424
6584,-6.214855137342663,-4.151427342491142,9.552957445579898,-5.09050722214196,3.5044348788858484,-3.6391516307995166,-1.3240741145795998,-6.63444029991467,3.260668169981871,-2.156867391863064,-5.81135955203361,5.016103159054791,-1.2995373990581935,1.008976849967833,-9.268746899419613,-1.6921304221680646,8.507413656366607,6.451299977114643,3.646292062086622,-7.672828055533138
6590,-6.300096180399265,-4.5085457724975635,26.254118370678007,6.338784351565859,-9.185276844102292,-2.7913021299184466,8.013118314444073,-1.7676057112359014,0.8991859252248994,-2.334033413319118,2.3800410594063357,-0.6820960164548504,-2.454679915706545,5.571769511239319,-2.122529282735075,2.5556458063213485,-2.617180291265738,-2.4237157591589478,1.2376359264116241,-2.7069148137283774
6669,-13.49324960631728,-14.812171051881197,-0.49989161795382453,5.426285378703408,13.6899052517197,4.95856420764374,7.550421122388818,6.663712904455474,-1.9313710250846925,-2.720270808623283,4.122335774289556,4.774167373452442,6.613875103968215,11.593863315756034,3.0380209027501626,-4.718589736031288,2.58789100453062,8.075711723463844,5.209547777488908,7.118645437658417
6989,-1.5014319180358606,-25.091993953860825,-4.90094666024719,-4.49177074693116,3.222212528259951,13.579793357546047,4.902610351539223,-14.238283912307777,14.963060414086039,8.733888513628935,5.690825765381566,1.5404266410775813,2.9422490006300848,-10.902218945974113,-2.544282878951429,0.30959625043368516,-22.443653054095247,-9.48039030433502,-11.330286802366414,-3.47553576842249
7047,3.531899693658149,-26.492145429323745,0.11685321602494565,-9.01888424708744,-7.477226872017211,-3.195976175532314,-11.543970737078912,3.2070735629013396,-6.0841812977944185,11.327447461770165,2.9986936799338046,-3.584719301568698,1.4248870586524527,5.335231457036766,2.457255495043202,-9.390193345404622,18.25956021416116,3.4840116324974124,-12.06879404494728,9.413553834129402
7144,12.338391271194554,-23.71279474833456,9.921531827343399,12.04743996196187,5.746832546009331,-10.110754061421813,-1.7608708707641023,-2.4646644717449036,5.502471508877017,-11.469820786938643,-0.9824848573150221,0.449422146411531,-4.258969960566694,-3.0066911103400766,1.0196419492658355,8.075910315545764,-6.0400577649981715,-0.9889849422011685,5.275446085235652,5.723101639829262
7150,30.510912984932187,-24.311732289387187,-4.067445250043158,19.712852274630283,5.454934528709868,5.770532383448752,0.26935613179183626,-0.35482372423654623,-1.7190759562994,0.6646421823592851,1.1505818112235522,-5.727730996092696,-1.7660285651400236,1.4634088990282266,0.5541935348086502,-1.2788414422659253,-0.8095046635440266,2.0403951879147613,-0.33610843182952055,-0.36504784499566184
7151,-8.51451797563687,-29.628258603688934,-4.269057081941349,0.8679749491746852,0.20417687778071733,10.028945460635796,-4.200155787780949,-6.016927005272005,23.4880423911692,-3.565716065647341,10.812200013682883,0.7021333325467871,-1.9897866771134871,-4.651256763929263,-4.723816719302392,1.1684000640793593,-16.80825443924546,-8.428106292527733,-10.267625353510896,2.732483677116599
7169,-13.180211116641974,-21.892488076589512,-6.923807671097497,-24.71057667144926,-5.942543711105938,-9.413141523289358,-18.254539893300805,-1.8434429995366295,-0.9593586574907573,-1.5240405715806378,8.541677812734795,-13.010027009954829,11.754673800177429,-14.059854718145381,5.335247966808251,-21.027623107256115,-5.189317898926324,-2.656704524675144,9.752435869160523,-6.896122754250056
7237,22.98641600162385,-2.0457749368183165,-8.14752688135917,-4.757096008810406,-4.602155197003785,-5.456238339416315,9.240852916767707,-3.5199886237245206,-8.52364416492798,-3.7135274980353303,4.9583186166163955,6.517421071600687,6.652668793800083,4.884748980584366,-3.380969390558748,0.11229476660196942,-4.883935622746307,0.17875652258309124,-0.6394342569619865,-0.9943903647958054
7247,20.924856962630603,-12.728031895666087,-10.774924123077097,-15.246789929242519,-5.040780901135057,0.9297996936220229,10.794240647386014,-4.332497713252805,-14.056741947680514,-1.4883224784456293,1.2129710995208056,1.5674006372369422,1.03022243467477,2.59158269077965,-5.6370756332632155,3.087107747984721,-0.3701470107949007,-2.514136186364999,-0.21496795680789346,0.8250927208966555
7268,-3.7034996011765675,10.498856910097018,21.880043782896596,4.619311355564978,13.427923904514833,-4.875860702260849,4.544408995409209,-1.5430623144792028,-0.9187749579871483,2.075902034626826,2.415325252648049,-4.5424793863613075,-2.692208163410963,-2.6827294912905546,1.4820296574340213,-0.3938297444114585,-3.317299834017469,-4.061871593683069,-0.40190190139181453,4.427372505119453
7334,-3.562240727993994,11.877056715321741,9.37742277607066,-21.80159325051042,-4.6918135644825325,8.761234094633506,5.048156745714177,-0.9869115269931523,5.377145155838455,3.0078184726683306,-3.17833835605624,-3.9365020876895347,-12.750788696065229,-3.157158916000352,-4.60669840142274,6.322964850220182,8.784015725994,-1.4385124701930967,1.475611527603227,-6.6952040924227365
7366,19.358681434911354,3.8459048219649374,-4.168153901300604,-18.781727611491867,-0.34425039288014053,6.82626113091652,9.688445156290733,-3.2280259685696557,-9.421637869275266,1.2075654504209339,-1.2038297495372785,3.511708914635534,-8.703066597764298,-2.696499706640331,0.28654586191828924,2.025216010441289,1.196128886021584,-1.9596581724910103,6.1442659783931655,0.3301160533493308
