,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
45,-0.1,0.56,0.06,-0.2,0.0,-0.1,-0.3,-0.1,0.03,-0.2,0.15,0.05,-0.3,-0.4,-0.6,-1.2,-0.8,-0.6,-1.1,-1.0,-1.0,-0.7,-0.7,-0.8,-0.5,-0.1,-0.4,-0.6,-0.3,0.19,0.91,0.89,1.48,0.57,1.19,1.41,0.26,0.26,-0.3,0.15,0.31,-0.2,0.3
46,-0.3,0.74,0.36,0.12,-0.1,0.2,-0.1,0.32,0.11,0.12,0.03,-0.1,-0.2,-0.2,-0.2,-0.9,-0.8,-0.5,-0.7,-0.6,-1.1,-0.5,-0.1,-0.3,-0.6,-0.3,-0.2,-0.6,-0.2,0.0,0.56,0.68,0.81,0.37,0.77,0.68,-0.2,0.0,-0.3,-0.2,-0.5,0.11,0.44
47,-0.6,0.62,0.29,0.25,0.05,0.08,0.02,0.15,0.18,0.22,-0.2,-0.3,-0.2,0.0,-0.5,-0.4,-0.6,-0.4,-0.7,-0.3,-0.7,-0.5,-0.1,-0.6,-0.8,-0.6,-0.5,-0.8,-0.1,0.0,0.25,0.25,0.35,0.52,0.35,0.11,0.11,0.44,0.63,0.07,-0.1,-0.6,-0.3
48,-0.4,0.44,0.03,0.27,0.1,0.11,0.02,0.04,0.14,0.0,-0.1,-0.3,-0.4,-0.3,-0.2,-0.2,-0.4,-0.5,-0.4,-0.4,-0.5,0.08,-0.2,0.0,-0.5,-0.6,-0.7,-0.7,-0.2,0.02,0.21,0.49,0.01,0.36,0.15,0.0,0.93,0.42,0.74,0.56,-0.2,-0.6,-0.8
49,-0.2,0.33,0.23,0.18,0.0,0.12,0.05,0.17,0.08,0.07,-0.2,-0.3,-0.4,-0.4,0.0,-0.3,-0.6,-0.4,-0.3,-0.4,-0.6,-0.1,0.11,0.27,-0.4,-0.4,-0.6,-0.7,-0.6,-0.2,0.17,0.41,0.35,0.55,0.12,0.35,1.76,1.4,1.65,1.32,0.56,-0.1,-1.8
50,-0.3,0.18,0.19,0.09,0.08,0.25,-0.1,0.1,0.1,-0.3,0.04,-0.3,-0.5,-0.2,-0.2,-0.4,-0.7,-0.3,-0.3,-0.1,-0.5,0.11,0.15,0.19,-0.1,-0.4,-0.3,-0.4,-0.4,-0.2,0.02,0.24,0.55,0.67,0.41,0.41,1.43,2.43,2.96,2.52,0.8,0.08,-1.1
51,,-0.2,0.04,0.09,0.05,0.16,0.16,0.1,-0.1,-0.2,0.0,-0.3,-0.3,-0.4,-0.1,-0.3,-0.5,-0.1,-0.2,-0.3,-0.1,0.36,-0.1,-0.1,0.0,-0.6,-0.4,0.03,-0.5,-0.3,-0.3,0.01,0.67,0.76,0.54,0.61,1.07,1.88,2.92,2.99,1.12,-0.2,-0.6
52,,-0.6,0.13,0.06,0.18,0.24,0.17,0.14,0.12,-0.1,0.04,0.0,-0.3,-0.4,-0.3,-0.5,-0.7,-0.3,-0.1,-0.3,-0.3,0.33,-0.2,0.11,-0.1,-0.3,-0.4,-0.3,-0.3,-0.3,-0.1,0.06,0.63,0.83,0.65,1.02,1.76,1.78,2.43,2.81,1.24,0.05,-0.6
53,,-0.8,-0.5,-0.1,-0.1,0.13,0.08,0.34,0.16,0.0,0.04,0.08,-0.4,-0.3,-0.6,-0.7,-0.5,0.07,-0.1,-0.1,-0.6,0.32,-0.2,-0.1,-0.1,-0.4,-0.4,-0.5,-0.4,-0.2,0.0,0.0,0.53,0.95,1.25,1.64,2.89,3.0,2.58,2.5,2.4,-0.2,-1.2
54,,0.68,-0.7,-0.1,-0.3,0.32,0.18,0.49,0.2,0.12,0.28,0.52,-0.2,-0.3,-0.8,-0.3,-0.2,0.43,0.31,-0.1,-0.3,-0.3,0.0,-0.1,0.27,-0.3,-0.2,-0.3,-0.3,0.2,0.5,0.07,0.36,0.54,1.79,2.32,2.68,3.48,3.43,4.08,3.07,0.49,0.07
55,,,0.38,-0.3,0.01,0.47,0.18,0.55,0.36,0.09,0.29,0.71,-0.1,0.02,-0.9,0.12,-0.1,0.41,0.51,0.21,0.15,0.21,0.16,0.28,0.09,-0.1,-0.5,-0.4,0.0,0.44,0.39,0.24,0.65,0.53,1.39,2.04,2.19,3.67,3.65,4.11,2.34,0.91,0.86
56,,,0.5,0.11,0.26,0.78,0.34,0.74,0.81,0.64,0.51,0.84,0.33,0.17,-0.2,-0.2,0.08,0.36,1.21,0.73,0.41,0.6,0.5,0.26,0.05,0.21,-0.3,-0.1,0.0,0.33,1.15,0.79,0.78,0.61,0.92,1.48,1.7,3.24,2.76,3.47,1.97,0.35,1.09
57,,,0.15,0.49,-0.6,0.58,0.29,0.52,1.03,0.47,1.31,1.38,0.84,0.84,0.22,0.11,-0.2,0.09,0.94,0.82,0.6,0.88,0.88,0.26,0.08,-0.3,0.0,0.18,0.26,0.85,1.47,0.96,1.28,0.74,0.92,1.55,1.15,1.94,1.63,2.07,2.24,0.99,0.8
58,,,,0.71,-0.6,0.79,-0.7,1.23,0.57,0.26,1.36,1.26,0.87,0.77,0.35,-0.1,-0.4,0.07,0.58,0.33,0.86,0.63,0.51,0.83,0.45,0.0,0.2,0.15,0.52,0.89,1.71,1.54,1.29,0.94,0.96,1.19,0.65,1.28,1.24,1.27,1.42,0.78,0.6
59,,,,-0.3,0.22,0.08,0.0,1.47,0.83,0.27,1.54,1.19,0.81,1.56,0.65,-0.2,-0.1,0.09,0.51,0.12,0.72,0.35,0.1,0.94,0.38,0.31,0.22,0.55,0.64,1.31,1.15,1.64,1.17,1.17,0.92,0.76,0.83,0.81,0.95,0.67,0.46,0.46,0.77
60,,,,,-0.4,-0.2,-0.6,0.19,0.3,0.21,1.23,0.77,1.1,1.46,0.74,-0.2,0.01,0.09,0.43,0.17,0.31,0.08,0.0,0.83,0.61,0.39,0.29,0.65,0.28,1.3,0.79,1.54,1.14,0.86,0.65,0.63,0.76,0.32,0.23,0.65,0.14,0.04,
61,,,,,-0.1,-0.3,0.0,0.77,-0.5,-1.8,0.68,0.55,0.5,0.5,0.45,-0.4,-0.4,-0.1,0.47,0.2,0.46,0.34,0.06,0.79,0.58,0.37,0.38,0.75,0.42,1.09,0.44,0.95,1.11,1.01,0.63,0.63,0.8,0.36,0.14,0.2,0.1,0.15,
62,,,,,,0.0,-0.3,3.61,-0.3,,0.58,-0.2,-0.1,0.07,0.09,-0.5,-0.6,-0.4,0.23,0.36,0.7,0.76,0.12,0.7,0.5,0.68,0.61,0.7,0.44,0.57,0.68,0.64,0.63,0.79,0.82,0.74,0.55,0.47,0.5,0.43,-0.1,0.4,
63,,,,,,,0.0,-0.9,-2.9,,-0.7,-0.7,-0.2,-0.3,-0.1,-0.5,-0.6,-0.5,0.05,0.04,0.93,0.71,-0.1,0.35,0.31,0.59,0.52,0.66,0.04,0.04,0.47,0.46,0.5,0.92,0.51,0.52,0.31,0.32,0.38,0.31,0.09,0.05,
